epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1164.4,1.12797,0.58583,1.75395,0.90715,0.90228,0.95882,0.79831,1.07026,0.57629,1.72625,0.000555396,0.000555396,0.000555396
2,2294.26,1.13987,0.59964,1.75272,0.8995,0.89863,0.95399,0.78913,1.09075,0.5872,1.73755,0.00100107,0.00100107,0.00100107
3,3445.24,1.15664,0.61612,1.76784,0.89845,0.89914,0.95487,0.78846,1.09252,0.59407,1.74471,0.00133672,0.00133672,0.00133672
