epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1165.71,1.22689,0.63363,1.76429,0.90356,0.90046,0.95361,0.78194,1.12307,0.59248,1.736,0.000555396,0.000555396,0.000555396
2,2285.97,1.17011,0.60848,1.73905,0.89397,0.89887,0.94929,0.77262,1.16213,0.6235,1.75353,0.00100107,0.00100107,0.00100107
3,3388.21,1.17421,0.61565,1.74488,0.89908,0.90136,0.95348,0.78027,1.13104,0.59812,1.74713,0.00133672,0.00133672,0.00133672
4,4508.99,1.17201,0.61633,1.7525,0.90187,0.90204,0.95474,0.78489,1.11212,0.58637,1.74132,0.0011719,0.0011719,0.0011719
5,5646.7,1.15447,0.60405,1.74437,0.90294,0.90399,0.95506,0.78766,1.09343,0.58322,1.73294,0.00100687,0.00100687,0.00100687
6,6748.28,1.13621,0.59062,1.73536,0.90029,0.90883,0.95632,0.78998,1.08941,0.57215,1.73208,0.000841835,0.000841835,0.000841835
7,7884.16,1.12028,0.5798,1.72813,0.89927,0.90667,0.95614,0.79396,1.06781,0.56173,1.72551,0.000676802,0.000676802,0.000676802
8,9010.65,1.10746,0.57037,1.72214,0.90286,0.90642,0.95743,0.79749,1.05857,0.55408,1.7226,0.000511769,0.000511769,0.000511769
9,10135.1,1.09444,0.56296,1.71824,0.90822,0.90745,0.9588,0.79896,1.05109,0.54581,1.71606,0.000346736,0.000346736,0.000346736
10,11261.7,1.08298,0.5526,1.71588,0.90793,0.90812,0.95852,0.80035,1.04391,0.54176,1.71441,0.000181703,0.000181703,0.000181703
