epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1524.32,1.41222,0.85259,1.84232,0.89281,0.85296,0.92885,0.76267,1.29227,0.77248,1.67462,0.000555458,0.000555458,0.000555458
2,3047.49,1.37785,0.8396,1.83269,0.8914,0.84608,0.92694,0.76186,1.28694,0.77536,1.66037,0.000891122,0.000891122,0.000891122
3,4643.9,1.37476,0.84231,1.83083,0.89471,0.85632,0.93197,0.76774,1.27412,0.76042,1.66517,0.00100674,0.00100674,0.00100674
4,6137.33,1.35381,0.82117,1.82076,0.89656,0.85627,0.93355,0.77392,1.24497,0.74366,1.65956,0.000676802,0.000676802,0.000676802
5,7624.87,1.32136,0.79952,1.81015,0.90047,0.85692,0.9351,0.77896,1.22392,0.7221,1.64459,0.000346736,0.000346736,0.000346736
