epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1512.95,1.96748,1.32875,2.00868,0.86218,0.80515,0.88785,0.68111,1.60154,0.9816,1.71621,0.000555458,0.000555458,0.000555458
2,3011.28,1.70763,1.08602,1.88984,0.85799,0.80929,0.88962,0.68605,1.56352,0.9934,1.70464,0.000891122,0.000891122,0.000891122
3,4511.34,1.67194,1.05833,1.88065,0.87191,0.81962,0.89839,0.69892,1.51725,0.92811,1.68648,0.00100674,0.00100674,0.00100674
