epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1585.97,1.54451,0.89492,1.8285,0.87548,0.83185,0.90501,0.70013,1.40657,0.83018,1.67158,0.000555458,0.000555458,0.000555458
2,3197.1,1.42395,0.82935,1.77498,0.87426,0.83023,0.905,0.70106,1.38722,0.82215,1.66752,0.00100112,0.00100112,0.00100112
3,4653.96,1.42056,0.83139,1.7727,0.87188,0.83167,0.90384,0.69996,1.39893,0.83594,1.67774,0.00133677,0.00133677,0.00133677
4,6087.95,1.40634,0.82366,1.7707,0.87237,0.83935,0.90913,0.71278,1.34637,0.79669,1.65811,0.0011719,0.0011719,0.0011719
5,7518.19,1.38718,0.80737,1.76225,0.87739,0.83422,0.90832,0.71392,1.33211,0.79148,1.65899,0.00100687,0.00100687,0.00100687
6,8956.91,1.37004,0.7964,1.76592,0.88249,0.83683,0.90965,0.71836,1.31325,0.77774,1.66315,0.000841835,0.000841835,0.000841835
7,10398.3,1.351,0.78292,1.75661,0.87928,0.84057,0.91166,0.71995,1.31142,0.76722,1.65602,0.000676802,0.000676802,0.000676802
8,11842,1.33555,0.77207,1.74966,0.88235,0.84295,0.91252,0.72394,1.29469,0.76508,1.64966,0.000511769,0.000511769,0.000511769
9,13281.1,1.3202,0.76254,1.74376,0.88234,0.84291,0.91302,0.72638,1.28844,0.75316,1.6438,0.000346736,0.000346736,0.000346736
10,14731.3,1.30815,0.75241,1.73673,0.88255,0.84299,0.91373,0.72795,1.27888,0.74776,1.63962,0.000181703,0.000181703,0.000181703
