epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1519.51,2.12656,1.45029,2.00365,0.82755,0.75229,0.83283,0.60798,1.85511,1.2263,1.7615,0.000555458,0.000555458,0.000555458
2,3015.66,1.96553,1.29745,1.94499,0.80743,0.73794,0.81158,0.58999,1.89613,1.36326,1.78105,0.000891122,0.000891122,0.000891122
3,4497.22,1.916,1.2588,1.92752,0.84594,0.77511,0.8578,0.64063,1.74125,1.09489,1.72664,0.00100674,0.00100674,0.00100674
4,5956.03,1.87248,1.21467,1.91333,0.85522,0.77872,0.8659,0.65248,1.68228,1.05155,1.70847,0.000676802,0.000676802,0.000676802
5,7489.2,1.83506,1.19065,1.90301,0.85107,0.78214,0.86592,0.65611,1.66752,1.04014,1.70302,0.000346736,0.000346736,0.000346736
