epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,314.046,4.26669,6.24313,5.06012,0.66224,0.04068,0.04993,0.02421,4.25618,6.64566,4.8635,0.000554678,0.000554678,0.000554678
2,619.459,2.62056,2.25275,2.62132,0.54782,0.36662,0.41824,0.29272,2.54101,2.24294,2.39859,0.00108836,0.00108836,0.00108836
3,918.931,2.36124,1.83745,2.34103,0.91397,0.37179,0.44788,0.32164,2.46268,1.88849,2.29229,0.00160004,0.00160004,0.00160004
4,1212.36,2.16895,1.60143,2.20013,0.57396,0.53786,0.54859,0.3897,2.09729,1.55947,2.01017,0.00156798,0.00156798,0.00156798
5,1505.37,2.01268,1.42789,2.1087,0.6944,0.6314,0.68201,0.46869,1.76939,1.3171,1.89474,0.00153497,0.00153497,0.00153497
6,1800.44,1.89233,1.30092,2.04525,0.7429,0.69571,0.74414,0.51529,1.60122,1.07014,1.78284,0.00150197,0.00150197,0.00150197
7,2097.75,1.81855,1.22158,2.01002,0.7652,0.69682,0.75048,0.51997,1.64443,1.11065,1.80187,0.00146896,0.00146896,0.00146896
8,2394.67,1.74653,1.15689,1.97387,0.80417,0.73626,0.80437,0.57028,1.46209,0.92882,1.72942,0.00143595,0.00143595,0.00143595
9,2683.9,1.70912,1.11075,1.94585,0.81175,0.7524,0.81592,0.58258,1.4886,0.9359,1.73753,0.00140295,0.00140295,0.00140295
10,2976.41,1.67487,1.07622,1.93472,0.82143,0.75367,0.82271,0.5874,1.52013,0.9394,1.75576,0.00136994,0.00136994,0.00136994
11,3266.92,1.62493,1.03206,1.91453,0.82424,0.75462,0.82774,0.59267,1.46153,0.91146,1.72465,0.00133693,0.00133693,0.00133693
12,3558.08,1.59855,1.0089,1.89867,0.83376,0.77768,0.85506,0.61931,1.39137,0.85914,1.70925,0.00130393,0.00130393,0.00130393
13,3850.43,1.57424,0.98684,1.88837,0.86016,0.79129,0.86705,0.63077,1.34575,0.81721,1.68595,0.00127092,0.00127092,0.00127092
14,4141.96,1.56665,0.97146,1.87728,0.84804,0.80162,0.87007,0.6423,1.29503,0.78323,1.67032,0.00123791,0.00123791,0.00123791
15,4433.9,1.52643,0.94219,1.86929,0.84725,0.80018,0.87488,0.64953,1.28461,0.76431,1.66954,0.00120491,0.00120491,0.00120491
16,4723.98,1.50932,0.91652,1.85437,0.86034,0.81565,0.88601,0.65755,1.26141,0.73559,1.65565,0.0011719,0.0011719,0.0011719
17,5009.96,1.49162,0.90369,1.84692,0.8837,0.80611,0.8916,0.66996,1.23574,0.71644,1.6527,0.00113889,0.00113889,0.00113889
18,5301.08,1.48095,0.89147,1.84205,0.87073,0.82236,0.89599,0.67436,1.21618,0.71216,1.64339,0.00110589,0.00110589,0.00110589
19,5591.74,1.45963,0.88522,1.83438,0.86053,0.81629,0.89112,0.66932,1.24775,0.7346,1.65155,0.00107288,0.00107288,0.00107288
20,5878.71,1.43736,0.86805,1.82092,0.86326,0.82547,0.89813,0.67504,1.22723,0.70099,1.64865,0.00103987,0.00103987,0.00103987
21,6166.52,1.4254,0.85534,1.81875,0.87359,0.8255,0.89814,0.67837,1.20971,0.69965,1.64987,0.00100687,0.00100687,0.00100687
22,6455.53,1.41752,0.84292,1.81807,0.87228,0.84312,0.91087,0.6894,1.19349,0.67687,1.63852,0.000973861,0.000973861,0.000973861
23,6744.1,1.41093,0.83284,1.8169,0.87411,0.83318,0.91028,0.68764,1.18246,0.6685,1.63392,0.000940855,0.000940855,0.000940855
24,7034.14,1.38596,0.81307,1.80596,0.88095,0.84125,0.913,0.6984,1.16311,0.64493,1.62628,0.000907848,0.000907848,0.000907848
25,7326.35,1.37366,0.81052,1.80473,0.88284,0.83615,0.91273,0.69898,1.15334,0.64746,1.62614,0.000874842,0.000874842,0.000874842
26,7617.31,1.36149,0.80106,1.79669,0.87969,0.84254,0.91484,0.7031,1.13246,0.63611,1.62227,0.000841835,0.000841835,0.000841835
27,7910.94,1.36061,0.79549,1.79636,0.89382,0.83656,0.91857,0.70804,1.12427,0.62479,1.62187,0.000808828,0.000808828,0.000808828
28,8194.26,1.35161,0.78324,1.79695,0.88837,0.8446,0.92007,0.70719,1.13134,0.62338,1.62305,0.000775822,0.000775822,0.000775822
29,8476.98,1.33197,0.77229,1.78959,0.88816,0.84288,0.92083,0.7116,1.11638,0.61473,1.61727,0.000742815,0.000742815,0.000742815
30,8762.88,1.32611,0.76526,1.78891,0.87746,0.85166,0.91949,0.71225,1.11827,0.61936,1.61777,0.000709809,0.000709809,0.000709809
31,9051.91,1.3192,0.75886,1.78468,0.88528,0.85204,0.92645,0.72115,1.09959,0.60151,1.61529,0.000676802,0.000676802,0.000676802
32,9337.34,1.30825,0.7532,1.77943,0.88798,0.85754,0.92477,0.71972,1.09776,0.60082,1.61487,0.000643795,0.000643795,0.000643795
33,9624.57,1.30333,0.74452,1.77399,0.88868,0.85305,0.92508,0.72103,1.08801,0.59628,1.61175,0.000610789,0.000610789,0.000610789
34,9915.39,1.28661,0.7333,1.77067,0.89548,0.8552,0.9292,0.7265,1.08049,0.58138,1.60986,0.000577782,0.000577782,0.000577782
35,10200.2,1.28162,0.73235,1.773,0.89114,0.85939,0.9299,0.72541,1.08517,0.58253,1.61066,0.000544776,0.000544776,0.000544776
36,10485,1.27243,0.72649,1.76593,0.8872,0.85583,0.92931,0.73154,1.06565,0.57289,1.60606,0.000511769,0.000511769,0.000511769
37,10774.3,1.26855,0.72374,1.76391,0.89782,0.85422,0.93117,0.73149,1.06401,0.57234,1.60554,0.000478762,0.000478762,0.000478762
38,11056.5,1.25952,0.71597,1.76179,0.89999,0.85548,0.93304,0.73456,1.06209,0.56602,1.60527,0.000445756,0.000445756,0.000445756
39,11342,1.25122,0.70256,1.75929,0.91974,0.84496,0.93092,0.73268,1.06341,0.5648,1.60522,0.000412749,0.000412749,0.000412749
40,11627.2,1.2426,0.70313,1.75866,0.90206,0.85555,0.9316,0.7338,1.05598,0.56302,1.60286,0.000379743,0.000379743,0.000379743
41,11914.9,1.18426,0.6412,1.68845,0.90691,0.85266,0.93163,0.73236,1.06485,0.5606,1.6029,0.000346736,0.000346736,0.000346736
42,12196.6,1.17253,0.63079,1.68187,0.90558,0.85845,0.9344,0.73842,1.05552,0.55243,1.60281,0.000313729,0.000313729,0.000313729
43,12481,1.16402,0.62262,1.67583,0.89467,0.86645,0.93703,0.73948,1.04795,0.55289,1.60083,0.000280723,0.000280723,0.000280723
44,12760.2,1.15325,0.60943,1.67582,0.91263,0.85638,0.93757,0.74091,1.04495,0.54893,1.6001,0.000247716,0.000247716,0.000247716
45,13044.4,1.15292,0.61057,1.67681,0.9139,0.85644,0.93682,0.74346,1.04023,0.54672,1.59889,0.00021471,0.00021471,0.00021471
