epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1453.21,2.0501,1.33731,2.01976,0.84186,0.78749,0.85723,0.61462,1.73123,1.0393,1.76988,0.000555458,0.000555458,0.000555458
2,2874.81,1.66573,0.98793,1.84392,0.84975,0.80435,0.87363,0.64548,1.62849,0.95247,1.74052,0.00100112,0.00100112,0.00100112
3,4294.87,1.61862,0.96139,1.82637,0.85032,0.80567,0.87504,0.65052,1.59631,0.95329,1.72737,0.00133677,0.00133677,0.00133677
4,5714.44,1.5827,0.9382,1.81207,0.84532,0.8092,0.87644,0.65847,1.54987,0.9225,1.71402,0.0011719,0.0011719,0.0011719
5,7147.99,1.55412,0.91514,1.79849,0.85393,0.81224,0.88185,0.6653,1.5195,0.91368,1.68856,0.00100687,0.00100687,0.00100687
6,8618.28,1.53043,0.9006,1.78977,0.85902,0.81831,0.88542,0.67044,1.49738,0.8845,1.68905,0.000841835,0.000841835,0.000841835
7,10074.5,1.50414,0.88063,1.783,0.86332,0.81377,0.88496,0.67351,1.48359,0.87167,1.68096,0.000676802,0.000676802,0.000676802
8,11559.1,1.48628,0.86856,1.77653,0.86529,0.8137,0.88564,0.67752,1.46165,0.85932,1.67787,0.000511769,0.000511769,0.000511769
9,13017.8,1.4702,0.85857,1.77332,0.86382,0.81783,0.88888,0.67994,1.45726,0.85521,1.67535,0.000346736,0.000346736,0.000346736
10,14473.5,1.45841,0.84926,1.77117,0.86446,0.81738,0.88847,0.68113,1.44881,0.85005,1.66835,0.000181703,0.000181703,0.000181703
