epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1526.94,1.57874,0.97978,1.90101,0.88449,0.84907,0.92332,0.74805,1.35403,0.80704,1.67887,0.000555458,0.000555458,0.000555458
2,3223.66,1.45504,0.89384,1.84088,0.88838,0.8428,0.92274,0.74624,1.36231,0.82283,1.66731,0.000891122,0.000891122,0.000891122
3,4929.4,1.44056,0.88823,1.83714,0.88997,0.84987,0.9249,0.75101,1.33424,0.7987,1.67581,0.00100674,0.00100674,0.00100674
4,6476.79,1.41832,0.86645,1.82968,0.89373,0.85108,0.92856,0.76122,1.29858,0.77701,1.65307,0.000676802,0.000676802,0.000676802
5,8188.62,1.38949,0.8453,1.82489,0.89435,0.85205,0.92891,0.76376,1.28227,0.76298,1.65608,0.000346736,0.000346736,0.000346736
