epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1078.35,1.12797,0.58583,1.75395,0.90715,0.90228,0.95882,0.79831,1.07026,0.57629,1.72625,0.000555396,0.000555396,0.000555396
2,2138.55,1.13987,0.59964,1.75272,0.8995,0.89863,0.95399,0.78913,1.09075,0.5872,1.73755,0.00100107,0.00100107,0.00100107
3,3196.76,1.15664,0.61612,1.76784,0.89845,0.89914,0.95487,0.78846,1.09252,0.59407,1.74471,0.00133672,0.00133672,0.00133672
4,4278.78,1.159,0.61788,1.76676,0.8971,0.89888,0.95543,0.78746,1.08382,0.58783,1.73814,0.0011719,0.0011719,0.0011719
5,5364.05,1.13656,0.60234,1.75237,0.90385,0.90353,0.95801,0.79808,1.06009,0.56911,1.72878,0.00100687,0.00100687,0.00100687
6,6458.69,1.12004,0.58849,1.74621,0.8984,0.90915,0.95643,0.79861,1.0474,0.55911,1.72418,0.000841835,0.000841835,0.000841835
7,7555.74,1.10279,0.57534,1.73889,0.90618,0.90683,0.95966,0.80359,1.03723,0.54701,1.71705,0.000676802,0.000676802,0.000676802
8,8653.86,1.08689,0.56482,1.7353,0.90487,0.90219,0.9575,0.80562,1.01979,0.53955,1.71226,0.000511769,0.000511769,0.000511769
9,9731.94,1.07013,0.55589,1.73784,0.90666,0.90611,0.95975,0.8085,1.00941,0.53396,1.7094,0.000346736,0.000346736,0.000346736
10,10814.2,1.05396,0.54405,1.72938,0.90468,0.90951,0.96018,0.81004,1.00091,0.52549,1.70414,0.000181703,0.000181703,0.000181703
