epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1162.58,1.33394,0.70851,1.79586,0.89117,0.9005,0.94658,0.75109,1.22217,0.63819,1.76821,0.000555396,0.000555396,0.000555396
2,2325.06,1.24225,0.64587,1.75472,0.89452,0.89034,0.94267,0.75156,1.21702,0.64629,1.76719,0.00100107,0.00100107,0.00100107
3,3444.91,1.24558,0.64916,1.75793,0.89145,0.89877,0.94803,0.75725,1.20434,0.62528,1.7663,0.00133672,0.00133672,0.00133672
4,4571.99,1.23507,0.64604,1.75555,0.8944,0.90007,0.9498,0.76121,1.20482,0.62756,1.75997,0.0011719,0.0011719,0.0011719
5,5706.04,1.21686,0.63506,1.74863,0.89687,0.90357,0.95191,0.76777,1.1615,0.60483,1.74673,0.00100687,0.00100687,0.00100687
6,6825.01,1.20354,0.62267,1.74714,0.89653,0.89883,0.94964,0.76972,1.15802,0.60399,1.74601,0.000841835,0.000841835,0.000841835
7,7948.28,1.18674,0.61328,1.73894,0.89406,0.89612,0.94837,0.77058,1.14437,0.59636,1.74195,0.000676802,0.000676802,0.000676802
8,9076.96,1.17226,0.60237,1.73506,0.89945,0.90041,0.95145,0.77554,1.12803,0.58801,1.73517,0.000511769,0.000511769,0.000511769
9,10198,1.16074,0.59632,1.73076,0.89749,0.90423,0.95171,0.77729,1.11795,0.57903,1.73098,0.000346736,0.000346736,0.000346736
10,11340.1,1.15092,0.58713,1.72617,0.90289,0.90472,0.95364,0.78041,1.1111,0.5747,1.72952,0.000181703,0.000181703,0.000181703
