epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1505.31,2.74181,2.17388,2.3672,0.75793,0.68728,0.74004,0.50106,2.08296,1.33045,1.84516,0.000555458,0.000555458,0.000555458
2,2997.87,1.9013,1.17121,1.88447,0.81202,0.74901,0.8152,0.56438,1.89313,1.14401,1.79115,0.00100112,0.00100112,0.00100112
3,4484.62,1.80057,1.09397,1.85544,0.8191,0.75938,0.82504,0.58213,1.82565,1.11071,1.7643,0.00133677,0.00133677,0.00133677
4,5975.51,1.75727,1.05952,1.84195,0.83382,0.77327,0.84258,0.60216,1.76049,1.05352,1.74655,0.0011719,0.0011719,0.0011719
5,7458.48,1.72323,1.03976,1.83185,0.83506,0.77698,0.8428,0.60485,1.73736,1.04951,1.72897,0.00100687,0.00100687,0.00100687
