epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1552.2,1.48944,0.87435,1.81872,0.87368,0.84098,0.91005,0.71138,1.36518,0.80534,1.68013,0.000555458,0.000555458,0.000555458
2,3043.76,1.36855,0.79858,1.759,0.87347,0.83979,0.91141,0.71565,1.3491,0.79636,1.67355,0.00100112,0.00100112,0.00100112
3,4580.27,1.36932,0.80225,1.76408,0.88137,0.83903,0.91205,0.7198,1.33135,0.7863,1.65736,0.00133677,0.00133677,0.00133677
4,6155.87,1.3595,0.79713,1.75629,0.87765,0.84331,0.91528,0.72559,1.30789,0.77428,1.65613,0.0011719,0.0011719,0.0011719
5,7706.96,1.34032,0.77888,1.75292,0.88503,0.84211,0.91732,0.72829,1.28938,0.76064,1.65063,0.00100687,0.00100687,0.00100687
6,9274.29,1.32173,0.77118,1.74272,0.8811,0.84726,0.91656,0.73328,1.26538,0.74517,1.63047,0.000841835,0.000841835,0.000841835
7,10836.7,1.30378,0.75426,1.73833,0.88998,0.84046,0.91771,0.73475,1.25784,0.73789,1.64344,0.000676802,0.000676802,0.000676802
8,12413.3,1.29024,0.74356,1.73748,0.88527,0.84895,0.9189,0.73782,1.2465,0.72734,1.63815,0.000511769,0.000511769,0.000511769
9,13985.1,1.27323,0.73006,1.73573,0.88639,0.84754,0.91812,0.73978,1.2364,0.7221,1.63038,0.000346736,0.000346736,0.000346736
10,15538.5,1.25971,0.72052,1.73045,0.88706,0.84837,0.91991,0.74229,1.23211,0.71639,1.62794,0.000181703,0.000181703,0.000181703
