epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1342.86,4.88015,7.14962,6.2559,0.83111,0.31561,0.34333,0.23535,2.45011,2.62363,3.40887,0.00333201,0.00333201,0.00333201
2,2681.37,2.53906,2.28856,2.85599,0.39815,0.39786,0.44828,0.35925,2.13428,1.84089,2.45311,0.00662135,0.00662135,0.00662135
3,4004.49,2.24888,1.78542,2.48468,0.73002,0.70588,0.76256,0.52932,1.82029,1.32363,2.19313,0.00986669,0.00986669,0.00986669
4,5316.5,2.00358,1.43104,2.31504,0.8104,0.77871,0.84265,0.60893,1.64198,1.10386,2.08657,0.009802,0.009802,0.009802
5,6658.06,1.84537,1.24753,2.22283,0.83104,0.80375,0.86569,0.64061,1.52424,0.98783,2.01321,0.009736,0.009736,0.009736
6,7995.01,1.75201,1.16065,2.1611,0.84139,0.8166,0.88173,0.6612,1.46459,0.93779,1.97552,0.00967,0.00967,0.00967
7,9344.15,1.6907,1.10042,2.13329,0.84554,0.82475,0.88673,0.67411,1.42467,0.89817,1.96003,0.009604,0.009604,0.009604
8,10724.1,1.64411,1.06658,2.10505,0.84906,0.83327,0.89773,0.68898,1.38279,0.86085,1.93154,0.009538,0.009538,0.009538
9,12105.5,1.60956,1.03706,2.08395,0.8549,0.82803,0.89825,0.6972,1.35442,0.84349,1.91901,0.009472,0.009472,0.009472
10,13478.4,1.58243,1.00508,2.07158,0.86057,0.8323,0.90282,0.70519,1.32777,0.82128,1.89905,0.009406,0.009406,0.009406
11,14875.9,1.5636,0.98605,2.06205,0.85788,0.83941,0.90619,0.71386,1.30117,0.80338,1.89126,0.00934,0.00934,0.00934
12,16335.3,1.54877,0.97923,2.05047,0.86362,0.84063,0.90955,0.71761,1.28964,0.79501,1.8784,0.009274,0.009274,0.009274
13,17728.5,1.52888,0.96668,2.0393,0.86596,0.84026,0.91186,0.72078,1.27812,0.78317,1.87328,0.009208,0.009208,0.009208
14,19122.6,1.5165,0.95963,2.03008,0.86694,0.84293,0.91235,0.72418,1.26316,0.7751,1.86301,0.009142,0.009142,0.009142
15,20526.2,1.50661,0.94518,2.02454,0.86814,0.84432,0.9136,0.72649,1.25593,0.76655,1.85904,0.009076,0.009076,0.009076
16,21927.7,1.49282,0.93152,2.01297,0.86817,0.84463,0.91523,0.72958,1.24477,0.75861,1.85039,0.00901,0.00901,0.00901
17,23352.7,1.48682,0.92917,2.01277,0.8681,0.84626,0.91573,0.73154,1.23819,0.75177,1.8483,0.008944,0.008944,0.008944
18,24769.9,1.4793,0.92889,2.007,0.86988,0.84553,0.91642,0.73295,1.23354,0.74826,1.84294,0.008878,0.008878,0.008878
19,26186.6,1.47219,0.91916,2.00011,0.86551,0.85236,0.91752,0.73491,1.22818,0.74312,1.83964,0.008812,0.008812,0.008812
20,27600.6,1.45927,0.91471,1.99238,0.86689,0.85097,0.91755,0.73614,1.2222,0.73963,1.83577,0.008746,0.008746,0.008746
21,29006.7,1.45195,0.90604,1.98571,0.8667,0.85495,0.919,0.73777,1.2158,0.73452,1.83123,0.00868,0.00868,0.00868
22,30413,1.45486,0.90969,1.98985,0.87017,0.84828,0.91875,0.738,1.21248,0.73773,1.82882,0.008614,0.008614,0.008614
23,31821.9,1.44642,0.89719,1.99206,0.87019,0.85353,0.92043,0.74033,1.20831,0.72839,1.82694,0.008548,0.008548,0.008548
24,33247.3,1.43513,0.88835,1.97862,0.87368,0.85266,0.92108,0.74159,1.20551,0.72415,1.82551,0.008482,0.008482,0.008482
25,34669.6,1.4348,0.88278,1.97854,0.87342,0.8544,0.92121,0.74222,1.20262,0.72314,1.8243,0.008416,0.008416,0.008416
26,36095.3,1.42996,0.87944,1.9744,0.87391,0.85386,0.92126,0.7429,1.20007,0.72213,1.82276,0.00835,0.00835,0.00835
27,37498.1,1.42531,0.87549,1.9733,0.87088,0.85756,0.92188,0.74405,1.19681,0.7185,1.82119,0.008284,0.008284,0.008284
28,38904.9,1.42043,0.8748,1.9696,0.87088,0.85749,0.9221,0.74441,1.19536,0.71745,1.82026,0.008218,0.008218,0.008218
29,40313.9,1.42071,0.87291,1.9663,0.87092,0.85869,0.92249,0.74514,1.1938,0.71457,1.81933,0.008152,0.008152,0.008152
