epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1459.1,1.67462,1.07984,1.9029,0.87991,0.84024,0.91524,0.7243,1.44826,0.87271,1.6791,0.000555458,0.000555458,0.000555458
2,2909.27,1.55077,0.96562,1.85291,0.87762,0.8335,0.9116,0.72391,1.44854,0.87286,1.68611,0.000891122,0.000891122,0.000891122
3,4368.17,1.53004,0.95499,1.8493,0.88445,0.84026,0.91738,0.72947,1.41822,0.84895,1.67217,0.00100674,0.00100674,0.00100674
4,5827.15,1.50857,0.93176,1.84013,0.88457,0.84291,0.91942,0.74046,1.37525,0.82676,1.66413,0.000676802,0.000676802,0.000676802
5,7288.6,1.47761,0.91082,1.8352,0.88698,0.84451,0.92157,0.74477,1.35883,0.81095,1.66032,0.000346736,0.000346736,0.000346736
