epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1165.34,1.35631,0.72484,1.79219,0.89053,0.88319,0.93567,0.72839,1.28698,0.66782,1.77378,0.000555396,0.000555396,0.000555396
2,2331.02,1.27769,0.66943,1.7636,0.89146,0.88454,0.93735,0.73919,1.24903,0.65687,1.77042,0.00100107,0.00100107,0.00100107
3,3488.33,1.27299,0.66467,1.76093,0.89066,0.89082,0.94178,0.74197,1.234,0.64759,1.76908,0.00133672,0.00133672,0.00133672
4,4626.33,1.26455,0.66485,1.75945,0.88937,0.88641,0.94023,0.74217,1.23137,0.64568,1.76685,0.0011719,0.0011719,0.0011719
