epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1116.67,1.20178,0.62145,1.75062,0.90728,0.89445,0.95378,0.78085,1.13062,0.59783,1.7401,0.000555396,0.000555396,0.000555396
2,2201.09,1.16336,0.60411,1.73722,0.8979,0.89737,0.94973,0.77687,1.14896,0.60689,1.74665,0.00100107,0.00100107,0.00100107
3,3300.36,1.17327,0.61084,1.74383,0.89771,0.89993,0.95097,0.77824,1.12363,0.59943,1.74482,0.00133672,0.00133672,0.00133672
4,4389.54,1.16938,0.61308,1.74127,0.89698,0.90497,0.95373,0.7826,1.11626,0.59258,1.744,0.0011719,0.0011719,0.0011719
5,5481.99,1.15458,0.60492,1.73411,0.90391,0.90354,0.95555,0.78558,1.09743,0.5869,1.73518,0.00100687,0.00100687,0.00100687
6,6579.41,1.13914,0.59077,1.73115,0.905,0.90116,0.95356,0.78732,1.08948,0.57635,1.72989,0.000841835,0.000841835,0.000841835
7,7680.77,1.12602,0.58128,1.72799,0.90308,0.90255,0.95525,0.79042,1.08652,0.56869,1.72615,0.000676802,0.000676802,0.000676802
8,8773.73,1.11569,0.57508,1.7232,0.89693,0.91048,0.95603,0.79473,1.07394,0.56333,1.72564,0.000511769,0.000511769,0.000511769
9,9870.04,1.10115,0.56498,1.71868,0.9018,0.90874,0.95618,0.79573,1.05919,0.55365,1.71853,0.000346736,0.000346736,0.000346736
10,10982.6,1.09162,0.55812,1.71372,0.9039,0.90993,0.95754,0.79885,1.04642,0.54509,1.71539,0.000181703,0.000181703,0.000181703
