epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6069.96,1.05059,0.63184,1.80656,0.96043,0.96525,0.99169,0.81698,1.3248,0.62306,1.85847,0.0095941,0.0095941,0.0095941
43,6219.73,1.05135,0.63275,1.80748,0.94967,0.9575,0.9872,0.82056,1.30207,0.61858,1.84523,0.0095842,0.0095842,0.0095842
44,6367.52,1.03688,0.61448,1.79976,0.96161,0.95166,0.99002,0.83297,1.29462,0.57608,1.832,0.0095743,0.0095743,0.0095743
45,6514.95,1.0292,0.6096,1.80663,0.9736,0.94286,0.98984,0.82576,1.32815,0.6314,1.89569,0.0095644,0.0095644,0.0095644
46,6662.79,1.02118,0.60664,1.80085,0.97073,0.95694,0.99009,0.81626,1.34984,0.64389,1.93812,0.0095545,0.0095545,0.0095545
47,6810.03,1.01298,0.59933,1.79504,0.95654,0.94487,0.98795,0.82026,1.30743,0.6276,1.86976,0.0095446,0.0095446,0.0095446
48,6958.37,1.00068,0.59182,1.79203,0.94904,0.9612,0.99024,0.82507,1.27542,0.58634,1.86409,0.0095347,0.0095347,0.0095347
49,7107,0.99822,0.58012,1.77662,0.95906,0.9704,0.99111,0.8326,1.27206,0.55643,1.86459,0.0095248,0.0095248,0.0095248
50,7257.24,1.00222,0.59269,1.79224,0.94561,0.95271,0.98715,0.8194,1.26225,0.58627,1.84284,0.0095149,0.0095149,0.0095149
51,7405.76,0.98041,0.57117,1.77498,0.95811,0.96807,0.99149,0.83017,1.29089,0.56427,1.88822,0.009505,0.009505,0.009505
52,7555.43,0.99654,0.58309,1.78474,0.93862,0.95922,0.9885,0.81595,1.33427,0.60195,1.89906,0.0094951,0.0094951,0.0094951
53,7706.45,0.97802,0.58904,1.78682,0.94253,0.97509,0.99044,0.82877,1.28204,0.56619,1.86766,0.0094852,0.0094852,0.0094852
54,7857.75,0.97122,0.56652,1.77084,0.97462,0.95591,0.99034,0.83907,1.277,0.56773,1.83238,0.0094753,0.0094753,0.0094753
55,8008.82,0.96344,0.55266,1.77044,0.9736,0.92157,0.98766,0.81962,1.28481,0.5698,1.83295,0.0094654,0.0094654,0.0094654
56,8160.3,0.95542,0.54939,1.76936,0.97397,0.93985,0.98888,0.8315,1.27346,0.57634,1.85642,0.0094555,0.0094555,0.0094555
57,8312.02,0.96562,0.56354,1.76961,0.97037,0.96188,0.99154,0.83011,1.28956,0.56936,1.84472,0.0094456,0.0094456,0.0094456
58,8463.87,0.9527,0.55378,1.76534,0.94847,0.95956,0.98798,0.83335,1.2764,0.55049,1.86697,0.0094357,0.0094357,0.0094357
59,8614.68,0.95174,0.55371,1.76669,0.96709,0.96071,0.99039,0.8295,1.27656,0.56646,1.88173,0.0094258,0.0094258,0.0094258
60,8765.92,0.9551,0.55472,1.76283,0.97668,0.92658,0.98691,0.80323,1.30425,0.59352,1.89998,0.0094159,0.0094159,0.0094159
61,8916.2,0.93908,0.54209,1.76355,0.96444,0.95237,0.99007,0.83076,1.23316,0.5474,1.83501,0.009406,0.009406,0.009406
62,9066.24,0.93447,0.54583,1.76219,0.95791,0.95348,0.98804,0.83009,1.29076,0.55728,1.84835,0.0093961,0.0093961,0.0093961
63,9217.18,0.93412,0.54681,1.75969,0.96857,0.90748,0.98358,0.83612,1.2611,0.58956,1.83525,0.0093862,0.0093862,0.0093862
64,9367.37,0.91835,0.5154,1.7457,0.96791,0.96282,0.99056,0.84762,1.22997,0.54823,1.83982,0.0093763,0.0093763,0.0093763
65,9517.52,0.91856,0.53563,1.75443,0.93959,0.94924,0.98488,0.84591,1.24629,0.56576,1.84536,0.0093664,0.0093664,0.0093664
66,9664.13,0.92054,0.53415,1.75296,0.971,0.91824,0.98445,0.84499,1.22725,0.56854,1.84039,0.0093565,0.0093565,0.0093565
67,9812.16,0.91427,0.52076,1.74217,0.96299,0.96037,0.98975,0.83491,1.26258,0.55555,1.81849,0.0093466,0.0093466,0.0093466
68,9957.46,0.91007,0.52507,1.74548,0.96225,0.96815,0.99195,0.84218,1.24234,0.5241,1.82877,0.0093367,0.0093367,0.0093367
69,10102.7,0.91882,0.53362,1.75193,0.93,0.97561,0.9894,0.84719,1.2258,0.55732,1.79534,0.0093268,0.0093268,0.0093268
70,10246.4,0.89706,0.52208,1.75332,0.97678,0.9784,0.99301,0.83694,1.25472,0.51689,1.83004,0.0093169,0.0093169,0.0093169
71,10389.6,0.90135,0.51022,1.74624,0.97058,0.96141,0.99067,0.81869,1.26187,0.54149,1.87342,0.009307,0.009307,0.009307
72,10533.1,0.90241,0.51491,1.74338,0.98209,0.96964,0.99237,0.85311,1.23785,0.51894,1.80542,0.0092971,0.0092971,0.0092971
73,10677.4,0.90316,0.5254,1.74746,0.96671,0.94076,0.98701,0.84112,1.24211,0.54288,1.83961,0.0092872,0.0092872,0.0092872
74,10822.9,0.88747,0.51664,1.74367,0.97064,0.95346,0.99238,0.8485,1.23843,0.53046,1.80983,0.0092773,0.0092773,0.0092773
75,10968.5,0.88311,0.50943,1.73677,0.95169,0.96472,0.98945,0.84239,1.22281,0.52111,1.82736,0.0092674,0.0092674,0.0092674
76,11111.5,0.88935,0.50866,1.74283,0.95159,0.94114,0.98577,0.84018,1.23389,0.53204,1.85308,0.0092575,0.0092575,0.0092575
77,11253.7,0.88298,0.50146,1.73658,0.9711,0.96122,0.98963,0.85484,1.1958,0.50231,1.78753,0.0092476,0.0092476,0.0092476
78,11396.1,0.88525,0.50764,1.73455,0.97568,0.92598,0.96394,0.8335,1.2206,0.57424,1.79976,0.0092377,0.0092377,0.0092377
79,11537.9,0.87077,0.49142,1.73035,0.9589,0.92991,0.97875,0.8419,1.20974,0.55798,1.79877,0.0092278,0.0092278,0.0092278
80,11678.9,0.86906,0.49688,1.73452,0.96344,0.91943,0.97013,0.83136,1.22979,0.56124,1.84513,0.0092179,0.0092179,0.0092179
81,11820.7,0.88347,0.49723,1.73422,0.98734,0.95158,0.99192,0.84606,1.21493,0.49573,1.80896,0.009208,0.009208,0.009208
82,11964.1,0.85877,0.48607,1.72218,0.96523,0.93036,0.98629,0.83694,1.25135,0.55522,1.85743,0.0091981,0.0091981,0.0091981
83,12109.5,0.86801,0.49473,1.73015,0.97233,0.93657,0.98873,0.83145,1.2391,0.5274,1.82935,0.0091882,0.0091882,0.0091882
84,12253,0.87035,0.49482,1.7347,0.96918,0.95879,0.9901,0.84317,1.20936,0.532,1.79141,0.0091783,0.0091783,0.0091783
85,12397.4,0.85366,0.48868,1.72495,0.97635,0.95841,0.99142,0.85094,1.18684,0.5042,1.78119,0.0091684,0.0091684,0.0091684
86,12541.2,0.852,0.49115,1.73131,0.98234,0.96176,0.99289,0.85287,1.19086,0.48978,1.80176,0.0091585,0.0091585,0.0091585
87,12685,0.86694,0.48353,1.72578,0.98696,0.97868,0.99397,0.84682,1.22342,0.49091,1.83268,0.0091486,0.0091486,0.0091486
88,12829.7,0.85862,0.48982,1.7308,0.96631,0.94832,0.98912,0.8425,1.2286,0.50851,1.8358,0.0091387,0.0091387,0.0091387
89,12973.4,0.85179,0.48806,1.72695,0.97165,0.93993,0.98687,0.83569,1.23567,0.52855,1.83405,0.0091288,0.0091288,0.0091288
90,13118.4,0.86103,0.49408,1.72703,0.94612,0.96074,0.98867,0.84567,1.21203,0.5252,1.81085,0.0091189,0.0091189,0.0091189
91,13267.4,0.84691,0.47556,1.71943,0.96384,0.9694,0.99148,0.85016,1.20073,0.49269,1.78039,0.009109,0.009109,0.009109
92,13418.1,0.83579,0.47157,1.71738,0.96944,0.97114,0.9919,0.85429,1.18466,0.48415,1.78743,0.0090991,0.0090991,0.0090991
93,13569,0.83091,0.47463,1.71658,0.97706,0.97238,0.99308,0.87063,1.15165,0.47329,1.78,0.0090892,0.0090892,0.0090892
94,13719.2,0.83126,0.47847,1.71903,0.93852,0.95954,0.98779,0.85721,1.15455,0.53376,1.79775,0.0090793,0.0090793,0.0090793
95,13869.2,0.83448,0.46681,1.7153,0.97379,0.92038,0.9812,0.85417,1.13931,0.50929,1.75203,0.0090694,0.0090694,0.0090694
96,14016.4,0.82652,0.46698,1.7159,0.96744,0.93888,0.98508,0.85092,1.15607,0.49724,1.75368,0.0090595,0.0090595,0.0090595
97,14162.4,0.82321,0.46663,1.71178,0.97611,0.92386,0.98725,0.85213,1.16377,0.49142,1.75817,0.0090496,0.0090496,0.0090496
98,14308.7,0.83177,0.46973,1.71111,0.98319,0.92609,0.98205,0.84849,1.17128,0.51618,1.78567,0.0090397,0.0090397,0.0090397
