epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1505.14,1.32523,0.76626,1.76341,0.88658,0.84516,0.92043,0.73518,1.27059,0.75296,1.65758,0.000555458,0.000555458,0.000555458
2,2975.03,1.31111,0.76166,1.75944,0.88119,0.84626,0.92066,0.72981,1.29855,0.76204,1.69082,0.00100112,0.00100112,0.00100112
3,4422.82,1.3291,0.77966,1.76769,0.88535,0.84436,0.91853,0.73385,1.27834,0.7653,1.66758,0.00133677,0.00133677,0.00133677
4,5880.81,1.32219,0.77392,1.76081,0.88414,0.84411,0.91939,0.73923,1.24875,0.74398,1.65073,0.0011719,0.0011719,0.0011719
5,7352.86,1.30221,0.75937,1.76063,0.88403,0.85311,0.92431,0.74361,1.24419,0.72442,1.64551,0.00100687,0.00100687,0.00100687
6,8819.82,1.28697,0.74779,1.75247,0.8849,0.85089,0.922,0.74534,1.22234,0.7179,1.64911,0.000841835,0.000841835,0.000841835
7,10272.3,1.26722,0.73565,1.75603,0.8885,0.84751,0.92353,0.74766,1.21222,0.70744,1.64726,0.000676802,0.000676802,0.000676802
8,11724.1,1.25075,0.72141,1.74929,0.88584,0.85302,0.92412,0.75212,1.19529,0.69627,1.64702,0.000511769,0.000511769,0.000511769
9,13181.5,1.23158,0.70386,1.74026,0.89345,0.84763,0.9246,0.75343,1.18874,0.69071,1.64077,0.000346736,0.000346736,0.000346736
10,14640.9,1.21436,0.69263,1.7362,0.89015,0.85204,0.92533,0.7546,1.18333,0.68363,1.63926,0.000181703,0.000181703,0.000181703
