epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1441.97,1.64198,1.02859,1.89868,0.88047,0.83677,0.91617,0.72815,1.44196,0.8782,1.68189,0.000555458,0.000555458,0.000555458
2,2873.73,1.52512,0.94733,1.85141,0.87805,0.83956,0.9152,0.73305,1.39692,0.85606,1.68009,0.000891122,0.000891122,0.000891122
3,4299.95,1.50383,0.93521,1.84985,0.88326,0.8473,0.92195,0.7391,1.37599,0.8405,1.66916,0.00100674,0.00100674,0.00100674
4,5729.25,1.47943,0.91383,1.84005,0.88982,0.84162,0.92163,0.74637,1.35231,0.81485,1.66032,0.000676802,0.000676802,0.000676802
5,7166.87,1.44971,0.89335,1.83102,0.88992,0.84231,0.92257,0.75077,1.32914,0.79581,1.65312,0.000346736,0.000346736,0.000346736
