epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1508.53,1.39475,0.81988,1.79262,0.879,0.84202,0.91465,0.72648,1.29898,0.77485,1.66531,0.000555458,0.000555458,0.000555458
2,3022.74,1.32684,0.77061,1.75641,0.88451,0.84354,0.91662,0.72651,1.29959,0.76627,1.67365,0.00100112,0.00100112,0.00100112
3,4526.54,1.33898,0.7869,1.75839,0.88351,0.84146,0.91545,0.72844,1.30038,0.78348,1.66388,0.00133677,0.00133677,0.00133677
4,6046.76,1.3319,0.78053,1.75956,0.88172,0.84928,0.91939,0.73401,1.27196,0.7533,1.65021,0.0011719,0.0011719,0.0011719
5,7549.64,1.31151,0.76675,1.75347,0.88375,0.84581,0.91935,0.73683,1.25778,0.74458,1.64314,0.00100687,0.00100687,0.00100687
