epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1577.25,1.64754,1.07692,1.91148,0.88591,0.8391,0.91939,0.7354,1.4056,0.83835,1.68063,0.000555458,0.000555458,0.000555458
2,3135.69,1.50327,0.93118,1.85487,0.88557,0.84007,0.91849,0.74078,1.37116,0.83541,1.6801,0.000891122,0.000891122,0.000891122
3,4714.08,1.4798,0.9158,1.84377,0.88865,0.84282,0.92059,0.74396,1.3598,0.81967,1.66381,0.00100674,0.00100674,0.00100674
4,6266.96,1.45808,0.89555,1.8319,0.89217,0.84688,0.92512,0.75198,1.33043,0.79826,1.66097,0.000676802,0.000676802,0.000676802
5,7795.51,1.42746,0.87271,1.82945,0.89436,0.84815,0.92647,0.75619,1.31495,0.77846,1.65247,0.000346736,0.000346736,0.000346736
