epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1140.73,1.12034,0.58337,1.75314,0.90087,0.90388,0.95699,0.79485,1.08542,0.58195,1.73744,0.000555396,0.000555396,0.000555396
2,2254.77,1.14686,0.60992,1.76767,0.89375,0.8998,0.95121,0.78612,1.09521,0.59247,1.74499,0.00100107,0.00100107,0.00100107
3,3359.17,1.16638,0.62184,1.7638,0.89619,0.9008,0.95575,0.78868,1.11309,0.60347,1.75315,0.00133672,0.00133672,0.00133672
4,4473.3,1.16553,0.62251,1.76718,0.89972,0.90124,0.95708,0.79201,1.08009,0.5847,1.73688,0.0011719,0.0011719,0.0011719
5,5594.91,1.14261,0.60851,1.75889,0.90968,0.89436,0.95693,0.79582,1.06219,0.57914,1.73077,0.00100687,0.00100687,0.00100687
6,6701,1.12877,0.59743,1.75295,0.89948,0.90636,0.95796,0.8011,1.04907,0.55506,1.72376,0.000841835,0.000841835,0.000841835
7,7808.4,1.10625,0.58136,1.74424,0.90971,0.8995,0.95871,0.80351,1.03093,0.55127,1.71386,0.000676802,0.000676802,0.000676802
8,8921.35,1.09065,0.56953,1.74383,0.91067,0.90034,0.95916,0.80829,1.01933,0.5357,1.71083,0.000511769,0.000511769,0.000511769
9,10048.1,1.07036,0.55655,1.734,0.9075,0.90602,0.96001,0.80955,1.00601,0.53002,1.70716,0.000346736,0.000346736,0.000346736
10,11159.7,1.05225,0.5426,1.72535,0.90995,0.90635,0.96122,0.81267,1.00043,0.52378,1.7022,0.000181703,0.000181703,0.000181703
