epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1398.83,2.74181,2.17388,2.3672,0.75793,0.68728,0.74004,0.50106,2.08296,1.33045,1.84516,0.000555458,0.000555458,0.000555458
2,2785.2,1.9013,1.17121,1.88447,0.81202,0.74901,0.8152,0.56438,1.89313,1.14401,1.79115,0.00100112,0.00100112,0.00100112
3,4160.13,1.80057,1.09397,1.85544,0.8191,0.75938,0.82504,0.58213,1.82565,1.11071,1.7643,0.00133677,0.00133677,0.00133677
4,5555.12,1.75727,1.05952,1.84195,0.83382,0.77327,0.84258,0.60216,1.76049,1.05352,1.74655,0.0011719,0.0011719,0.0011719
5,6997.38,1.72323,1.03976,1.83185,0.83506,0.77698,0.8428,0.60485,1.73736,1.04951,1.72897,0.00100687,0.00100687,0.00100687
6,8385.94,1.70437,1.02061,1.82654,0.83895,0.77905,0.85021,0.61447,1.6926,1.01877,1.72407,0.000841835,0.000841835,0.000841835
7,9778.41,1.67788,1.00523,1.81943,0.83792,0.78086,0.84986,0.61749,1.67452,0.99929,1.71519,0.000676802,0.000676802,0.000676802
8,11241.4,1.66229,0.98885,1.81482,0.83879,0.78167,0.8489,0.61894,1.66173,0.99087,1.71749,0.000511769,0.000511769,0.000511769
9,12651.6,1.6469,0.9781,1.8091,0.83848,0.78453,0.85186,0.62115,1.66613,0.9847,1.7203,0.000346736,0.000346736,0.000346736
10,14071.9,1.62992,0.96697,1.80463,0.83942,0.78688,0.85381,0.62407,1.65244,0.97926,1.70961,0.000181703,0.000181703,0.000181703
