epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1124.03,1.08307,0.58914,1.77727,0.90275,0.90304,0.95866,0.8042,1.01882,0.5415,1.71088,0.00333171,0.00333171,0.00333171
2,2241.56,1.14311,0.62928,1.7954,0.89242,0.90425,0.95512,0.79612,1.04929,0.57742,1.72625,0.00662106,0.00662106,0.00662106
3,3336.94,1.22434,0.69577,1.82484,0.89419,0.89972,0.95315,0.77758,1.13975,0.6237,1.76838,0.0098664,0.0098664,0.0098664
4,4436.76,1.29612,0.74913,1.85741,0.88198,0.89018,0.94745,0.77599,1.11619,0.63564,1.76512,0.009802,0.009802,0.009802
5,5551.95,1.29622,0.7551,1.86421,0.89055,0.89705,0.95089,0.78008,1.11474,0.61026,1.75596,0.009736,0.009736,0.009736
6,6696.51,1.28964,0.74932,1.8651,0.88471,0.90055,0.94909,0.78225,1.0935,0.60765,1.75201,0.00967,0.00967,0.00967
7,7833.77,1.28851,0.74409,1.85403,0.89644,0.89187,0.95152,0.78393,1.09309,0.60625,1.74743,0.009604,0.009604,0.009604
8,8975.98,1.2854,0.74368,1.85423,0.88885,0.88886,0.94868,0.78024,1.09286,0.6062,1.75451,0.009538,0.009538,0.009538
9,10104.8,1.27881,0.7375,1.86395,0.89169,0.89807,0.95141,0.78797,1.06644,0.58733,1.74265,0.009472,0.009472,0.009472
10,11255.9,1.27557,0.73352,1.85756,0.89941,0.89589,0.95336,0.79039,1.06514,0.58813,1.73828,0.009406,0.009406,0.009406
11,12404.8,1.27372,0.73078,1.85898,0.89735,0.89392,0.95164,0.79239,1.059,0.58001,1.73822,0.00934,0.00934,0.00934
12,13547.2,1.26915,0.72619,1.84424,0.8888,0.90176,0.95176,0.78903,1.0713,0.58181,1.74144,0.009274,0.009274,0.009274
13,14688.7,1.26543,0.72367,1.84729,0.89845,0.89926,0.95473,0.79581,1.03955,0.56596,1.73058,0.009208,0.009208,0.009208
