epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1151.83,1.27326,0.66621,1.77215,0.89925,0.89361,0.94989,0.7632,1.19007,0.61654,1.75431,0.000555396,0.000555396,0.000555396
2,2279.32,1.21985,0.63382,1.75206,0.89231,0.89881,0.94698,0.76381,1.17806,0.62079,1.7544,0.00100107,0.00100107,0.00100107
3,3438.04,1.22323,0.63759,1.75549,0.89768,0.89814,0.94915,0.76642,1.16549,0.61216,1.75433,0.00133672,0.00133672,0.00133672
4,4554.7,1.2163,0.6381,1.75471,0.90032,0.89338,0.95085,0.77167,1.1475,0.60577,1.75007,0.0011719,0.0011719,0.0011719
5,5669.23,1.19587,0.62413,1.74717,0.90109,0.89568,0.95125,0.77478,1.13405,0.59506,1.74412,0.00100687,0.00100687,0.00100687
6,6797.57,1.18328,0.61453,1.74235,0.90314,0.89915,0.95304,0.77808,1.12958,0.59139,1.74157,0.000841835,0.000841835,0.000841835
7,7911.88,1.16432,0.60231,1.73683,0.89802,0.90186,0.95241,0.78023,1.11954,0.58118,1.73551,0.000676802,0.000676802,0.000676802
8,9022.42,1.15073,0.59086,1.73447,0.90434,0.8985,0.95292,0.78363,1.10387,0.57173,1.73028,0.000511769,0.000511769,0.000511769
9,10131.2,1.1374,0.58349,1.72899,0.90274,0.90168,0.95407,0.78485,1.09366,0.56824,1.72838,0.000346736,0.000346736,0.000346736
10,11244.1,1.12795,0.57677,1.72477,0.90643,0.90216,0.95527,0.7873,1.08939,0.56383,1.72586,0.000181703,0.000181703,0.000181703
