epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1528.88,1.56575,0.93743,1.81942,0.8681,0.83043,0.90061,0.69331,1.4446,0.84733,1.68431,0.000555458,0.000555458,0.000555458
2,3219.46,1.44329,0.84245,1.77782,0.87096,0.82997,0.90197,0.69518,1.42153,0.83363,1.68149,0.00100112,0.00100112,0.00100112
3,4875.47,1.44294,0.8431,1.77339,0.86884,0.8316,0.90156,0.70005,1.39837,0.82662,1.67698,0.00133677,0.00133677,0.00133677
4,6521.63,1.43076,0.83829,1.77227,0.87187,0.83361,0.90468,0.7036,1.38684,0.81939,1.67024,0.0011719,0.0011719,0.0011719
5,8119.27,1.41259,0.82312,1.76522,0.87658,0.82878,0.90331,0.7043,1.38364,0.80835,1.66405,0.00100687,0.00100687,0.00100687
6,9581.51,1.39661,0.81059,1.75876,0.87656,0.83595,0.90874,0.71126,1.35747,0.79501,1.65278,0.000841835,0.000841835,0.000841835
7,11151.4,1.37965,0.79731,1.75865,0.87534,0.83935,0.90849,0.71174,1.3487,0.78604,1.65381,0.000676802,0.000676802,0.000676802
8,12738.6,1.36395,0.78581,1.75477,0.87758,0.83891,0.90942,0.71577,1.32755,0.77714,1.64974,0.000511769,0.000511769,0.000511769
9,14346.3,1.34786,0.77455,1.75123,0.88062,0.83957,0.90957,0.71669,1.32636,0.77213,1.65837,0.000346736,0.000346736,0.000346736
10,15936.7,1.33734,0.76629,1.75013,0.8826,0.83707,0.91062,0.71853,1.31999,0.76763,1.64873,0.000181703,0.000181703,0.000181703
